seccion,id,pregunta_o_escenario,contexto_fijo,opcion_a,opcion_b,opcion_c,tu_respuesta,nota_extra
INSTRUCCIONES,,"Rellena tu_respuesta (texto corto o numero). Si eliges A/B/C pon la letra y un matiz en nota_extra. Objetivo: cerrar huecos antes de programar estrellas por nivel. Publico: criterio escuela Zurriola.",,,,,,
H - DEFINICION DE ESTRELLAS,H1,¿Qué significa 5 estrellas para INTERMEDIO? (una frase),Misma playa Zurriola,,,,
H - DEFINICION DE ESTRELLAS,H2,¿Qué significa 5 estrellas para AVANZADO?,Misma playa,,,,
H - DEFINICION DE ESTRELLAS,H3,¿Qué significa 1 estrella? ¿Es 'peligroso' 'no merece la pena' o ambas?,,,,,
H - DEFINICION DE ESTRELLAS,H4,¿Iniciacion debe tener estrellas en el slider cada 2h o solo intermedio/avanzado?,,"Solo intermedio+avanzado","Tres escalas visibles","Una escala + badge de nivel",,
H - VIENTO CASOS FRONTERA,H5,Sur 18-22 km/h + energia 250-400 kJ + periodo 10-12s + marea neutra. Estrellas INTERMEDIO (1-5),Zona gris entre 'pequeño' y 'con fuerza',,,,
H - VIENTO CASOS FRONTERA,H6,Sur 25-30 km/h + energia 600-900 kJ + periodo 11s. Estrellas AVANZADO (1-5),Sur fuerte pero mar con fuerza,,,,
H - VIENTO CASOS FRONTERA,H7,Norte 12 km/h + energia 700 kJ + periodo 11s + glassy no. Estrellas INTERMEDIO y AVANZADO (ej: 2 y 3),Onshore 'notable' con buen tamaño,,,,
H - VIENTO CASOS FRONTERA,H8,Norte 18 km/h + energia 900 kJ. ¿Maximo de estrellas posible aunque el resto sea perfecto?,,"1","2","3 (solo avanzado)",,
H - VIENTO CASOS FRONTERA,H9,¿Usamos velocidad media o rachas (gusts) para castigar?,Open-Meteo trae ambas,"Solo media","Media y si rachas >X castigo extra","Solo rachas",,
H - VIENTO CASOS FRONTERA,H10,Viento cruzado (E/W) 15-20 km/h: ¿se parece mas a norte o a sur flojo?,"","","Mas castigo tipo onshore","Castigo medio","Casi como glassy si no hay norte",,
